Radius,Gravity,Pressure,Mass,Density,T_M2_min,T_M2_avg,T_M2_max
19200.0,-0.0372814924627174,5.661088645863298,2.0591596693969658e+17,7000.0,1685.0,1835.0,1985.0
19300.0,-0.0374771905193566,5.661062411829935,2.091586937439907e+17,7000.0,1684.921875,1834.921875,1984.921875
19400.0,-0.0376728886032186,5.661036040807913,2.1243528691709053e+17,7000.0,1684.84375,1834.84375,1984.84375
19500.0,-0.0378685867138845,5.661009532797213,2.1574592238818467e+17,7000.0,1684.765625,1834.765625,1984.765625
19600.0,-0.0380642848509441,5.660982887797818,2.1909077608646173e+17,7000.0,1684.6875,1834.6875,1984.6875
19700.0,-0.0382599830139955,5.660956105809708,2.2247002394111027e+17,7000.0,1684.609375,1834.609375,1984.609375
19800.0,-0.0384556812026447,5.660929186832867,2.258838418813189e+17,7000.0,1684.53125,1834.53125,1984.53125
19900.0,-0.0386513794165061,5.660902130867275,2.2933240583627622e+17,7000.0,1684.453125,1834.453125,1984.453125
20000.0,-0.0388470776552012,5.660874937912916,2.328158917351709e+17,7000.0,1684.375,1834.375,1984.375
20100.0,-0.0390427759183596,5.660847607969774,2.363344755071915e+17,7000.0,1684.296875,1834.296875,1984.296875
20200.0,-0.0392384742056178,5.66082014103783,2.3988833308152656e+17,7000.0,1684.21875,1834.21875,1984.21875
20300.0,-0.0394341725166198,5.660792537117067,2.4347764038736474e+17,7000.0,1684.140625,1834.140625,1984.140625
20400.0,-0.0396298708510164,5.660764796207472,2.4710257335389466e+17,7000.0,1684.0625,1834.0625,1984.0625
20500.0,-0.0398255692084651,5.660736918309026,2.5076330791030483e+17,7000.0,1683.984375,1833.984375,1983.984375
20600.0,-0.0400212675886303,5.660708903421714,2.5446001998578394e+17,7000.0,1683.90625,1833.90625,1983.90625
20700.0,-0.0402169659911828,5.66068075154552,2.5819288550952058e+17,7000.0,1683.828125,1833.828125,1983.828125
20800.0,-0.0404126644157996,5.660652462680429,2.619620804107033e+17,7000.0,1683.75,1833.75,1983.75
20900.0,-0.0406083628621641,5.660624036826425,2.657677806185207e+17,7000.0,1683.671875,1833.671875,1983.671875
