Radius,Gravity,Pressure,Mass,Density
29400.0,-0.057242786768957415,5.638659041485805,7.41326808378647e+17,7000.0
29500.0,-0.05743848633798604,5.638618834545368,7.489301160516063e+17,7000.0
29600.0,-0.05763418591463776,5.638578490615227,7.565852348706085e+17,7000.0
29700.0,-0.057829885498835575,5.638538009695378,7.642923407648424e+17,7000.0
29800.0,-0.05802558509050351,5.638497391785815,7.720516096634964e+17,7000.0
29900.0,-0.058221284689566624,5.6384566368865325,7.798632174957594e+17,7000.0
30000.0,-0.05841698429595096,5.638415744997525,7.877273401908196e+17,7000.0
30100.0,-0.05861268390958355,5.638374716118789,7.956441536778659e+17,7000.0
30200.0,-0.0588083835303924,5.638333550250318,8.036138338860868e+17,7000.0
30300.0,-0.059004083158306436,5.638292247392107,8.116365567446708e+17,7000.0
30400.0,-0.05919978279325557,5.638250807544151,8.197124981828068e+17,7000.0
30500.0,-0.05939548243517057,5.638209230706447,8.278418341296831e+17,7000.0
30600.0,-0.05959118208398319,5.638167516878989,8.360247405144884e+17,7000.0
30700.0,-0.059786881739625986,5.638125666061771,8.442613932664114e+17,7000.0
30800.0,-0.05998258140203243,5.638083678254789,8.525519683146405e+17,7000.0
30900.0,-0.06017828107113689,5.63804155345804,8.608966415883645e+17,7000.0
31000.0,-0.060373980746874514,5.637999291671516,8.69295589016772e+17,7000.0
31100.0,-0.06056968042918133,5.637956892895216,8.777489865290514e+17,7000.0
31200.0,-0.060765380117994164,5.637914357129133,8.862570100543914e+17,7000.0
31300.0,-0.06096107981325067,5.637871684373264,8.948198355219807e+17,7000.0
31400.0,-0.061156779514889285,5.637828874627604,9.034376388610077e+17,7000.0
31500.0,-0.06135247922284921,5.637785927892147,9.121105960006612e+17,7000.0
31600.0,-0.061548178937070444,5.637742844166891,9.208388828701298e+17,7000.0
31700.0,-0.06174387865749374,5.637699623451831,9.29622675398602e+17,7000.0
31800.0,-0.06193957838406057,5.637656265746962,9.384621495152663e+17,7000.0
31900.0,-0.062135278116713176,5.63761277105228,9.473574811493115e+17,7000.0
32000.0,-0.06233097785539449,5.6375691393677805,9.563088462299261e+17,7000.0
32100.0,-0.06252667760004817,5.63752537069346,9.653164206862988e+17,7000.0
32200.0,-0.06272237735061859,5.637481465029315,9.74380380447618e+17,7000.0
32300.0,-0.06291807710705076,5.63743742237534,9.835009014430725e+17,7000.0
32400.0,-0.06311377686929043,5.637393242731532,9.926781596018509e+17,7000.0
32500.0,-0.063309476637284,5.637348926097886,1.0019123308531416e+18,7000.0
32600.0,-0.0635051764109785,5.637304472474399,1.0112035911261335e+18,7000.0
32700.0,-0.06370087619032165,5.637259881861066,1.020552116350015e+18,7000.0
32800.0,-0.06389657597526177,5.637215154257883,1.0299580824539747e+18,7000.0
32900.0,-0.06409227576574783,5.637170289664847,1.0394216653672012e+18,7000.0
33000.0,-0.0642879755617294,5.637125288081954,1.0489430410188831e+18,7000.0
33100.0,-0.06448367536315668,5.6370801495092,1.058522385338209e+18,7000.0
33200.0,-0.06467937516998046,5.637034873946581,1.0681598742543676e+18,7000.0
33300.0,-0.06487507498215211,5.636989461394093,1.0778556836965475e+18,7000.0
33400.0,-0.06507077479962364,5.636943911851734,1.0876099895939372e+18,7000.0
33500.0,-0.06526647462234754,5.636898225319498,1.0974229678757253e+18,7000.0
33600.0,-0.06546217445027694,5.636852401797383,1.1072947944711005e+18,7000.0
33700.0,-0.06565787428336549,5.636806441285385,1.1172256453092515e+18,7000.0
33800.0,-0.06585357412156741,5.6367603437835,1.1272156963193665e+18,7000.0
33900.0,-0.06604927396483744,5.636714109291725,1.1372651234306345e+18,7000.0
34000.0,-0.06624497381313084,5.636667737810055,1.1473741025722438e+18,7000.0
34100.0,-0.06644067366640345,5.6366212293384885,1.1575428096733832e+18,7000.0
34200.0,-0.06663637352461159,5.636574583877022,1.1677714206632412e+18,7000.0
34300.0,-0.06683207338771208,5.63652780142565,1.1780601114710065e+18,7000.0
34400.0,-0.06702777325566225,5.6364808819843715,1.1884090580258678e+18,7000.0
34500.0,-0.06722347312841996,5.636433825553182,1.1988184362570135e+18,7000.0
34600.0,-0.06741917300594348,5.636386632132077,1.2092884220936323e+18,7000.0
34700.0,-0.06761487288819164,5.636339301721055,1.2198191914649126e+18,7000.0
34800.0,-0.06781057277512369,5.6362918343201125,1.2304109203000433e+18,7000.0
34900.0,-0.06800627266669936,5.636244229929246,1.2410637845282127e+18,7000.0
35000.0,-0.06820197256287888,5.636196488548452,1.2517779600786097e+18,7000.0
35100.0,-0.0683976724636229,5.636148610177727,1.2625536228804227e+18,7000.0
35200.0,-0.06859337236889249,5.636100594817069,1.2733909488628403e+18,7000.0
35300.0,-0.0687890722786492,5.6360524424664735,1.2842901139550513e+18,7000.0
35400.0,-0.06898477219285501,5.636004153125938,1.295251294086244e+18,7000.0
35500.0,-0.06918047211147232,5.63595572679546,1.3062746651856074e+18,7000.0
