,Radius,Mass,Gravity,Pressure,Density
1027,1027000.0,1.5414074416648927e+22,-0.9753989591548153,3.010760385462076,3308
1028,1028000.0,1.5457919030761672e+22,-0.9762713003509953,3.0075308800005147,3308
1029,1029000.0,1.550184907030787e+22,-0.9771437944880847,3.0042984883283483,3308
1030,1030000.0,1.5545864618426631e+22,-0.9780164409724277,3.0010632099416115,3308
1031,1031000.0,1.5589965758257061e+22,-0.9788892392132458,2.997825044338294,3308
1032,1032000.0,1.563415257293827e+22,-0.9797621886226215,2.9945839910183305,3308
1033,1033000.0,1.5678425145609365e+22,-0.9806352886154817,2.9913400494835907,3308
1034,1034000.0,1.5722783559409455e+22,-0.981508538609581,2.98809321923787,3308
1035,1035000.0,1.5767227897477645e+22,-0.9823819380254851,2.984843499786882,3308
1036,1036000.0,1.5811758242953047e+22,-0.9832554862865558,2.981590890638246,3308
1037,1037000.0,1.5856374678974766e+22,-0.9841291828189326,2.9783353913014814,3308
1038,1038000.0,1.5901077288681912e+22,-0.985003027051519,2.975077001287995,3308
1039,1039000.0,1.5945866155213592e+22,-0.9858770184159648,2.971815720111075,3308
1040,1040000.0,1.5990741361708914e+22,-0.9867511563466512,2.96855154728588,3308
1041,1041000.0,1.6035702991306986e+22,-0.9876254402806749,2.9652844823294315,3308
1042,1042000.0,1.6080751127146915e+22,-0.9884998696578321,2.9620145247606033,3308
1043,1043000.0,1.612588585236781e+22,-0.9893744439206036,2.958741674100114,3308
1044,1044000.0,1.617110725010878e+22,-0.9902491625141386,2.9554659298705173,3308
1045,1045000.0,1.6216415403508933e+22,-0.9911240248862403,2.9521872915961938,3308
1046,1046000.0,1.6261810395707374e+22,-0.9919990304873497,2.948905758803342,3308
1047,1047000.0,1.6307292309843213e+22,-0.9928741787705314,2.945621331019969,3308
1048,1048000.0,1.635286122905556e+22,-0.993749469191458,2.9423340077758837,3308
1049,1049000.0,1.639851723648352e+22,-0.9946249012083953,2.9390437886026866,3308
1050,1050000.0,1.64442604152662e+22,-0.9955004742821877,2.935750673033761,3308
1051,1051000.0,1.649009084854271e+22,-0.996376187876243,2.9324546606042667,3308
1052,1052000.0,1.653600861945216e+22,-0.997252041456519,2.9291557508511286,3308
1053,1053000.0,1.6582013811133654e+22,-0.998128034491507,2.925853943313031,3308
1054,1054000.0,1.6628106506726302e+22,-0.9990041664522192,2.922549237530407,3308
1055,1055000.0,1.6674286789369212e+22,-0.9998804368121733,2.919241633045432,3308
1056,1056000.0,1.6720554742201492e+22,-1.0007568450473792,2.9159311294020154,3308
1057,1057000.0,1.676691044836225e+22,-1.0016333906363233,2.91261772614579,3308
1058,1058000.0,1.6813353990990594e+22,-1.0025100730599563,2.909301422824108,3308
1059,1059000.0,1.685988545322563e+22,-1.0033868918016784,2.905982218986028,3308
1060,1060000.0,1.690650491820647e+22,-1.0042638463473248,2.9026601141823107,3308
1061,1061000.0,1.6953212469072217e+22,-1.0051409361851533,2.89933510796541,3308
1062,1062000.0,1.7000008188961984e+22,-1.0060181608058292,2.8960071998894645,3308
1063,1063000.0,1.7046892161014876e+22,-1.0068955197024128,2.8926763895102887,3308
1064,1064000.0,1.7093864468370002e+22,-1.0077730123703457,2.8893426763853673,3308
1065,1065000.0,1.714092519416647e+22,-1.008650638307437,2.8860060600738464,3308
1066,1066000.0,1.7188074421543386e+22,-1.0095283970138496,2.882666540136525,3308
1067,1067000.0,1.723531223363986e+22,-1.0104062879920888,2.8793241161358467,3308
1068,1068000.0,1.7282638713595e+22,-1.0112843107469867,2.8759787876358955,3308
1069,1069000.0,1.7330053944547914e+22,-1.012162464785691,2.8726305542023844,3308
1070,1070000.0,1.7377558009637708e+22,-1.0130407496176517,2.8692794154026493,3308
1071,1071000.0,1.7425150992003493e+22,-1.0139191647546069,2.865925370805641,3308
1072,1072000.0,1.7472832974784375e+22,-1.0147977097105716,2.862568419981919,3308
1073,1073000.0,1.7520604041119462e+22,-1.015676384001824,2.8592085625036407,3308
1074,1074000.0,1.7568464274147863e+22,-1.016555187146894,2.855845797944559,3308
1075,1075000.0,1.7616413757008685e+22,-1.0174341186665488,2.8524801258800094,3308
1076,1076000.0,1.7664452572841037e+22,-1.0183131780837824,2.8491115458869087,3308
1077,1077000.0,1.7712580804784027e+22,-1.0191923649238015,2.8457400575437406,3308
1078,1078000.0,1.7760798535976762e+22,-1.0200716787140145,2.8423656604305547,3308
1079,1079000.0,1.780910584955835e+22,-1.0209511189840186,2.838988354128956,3308
1080,1080000.0,1.78575028286679e+22,-1.0218306852655876,2.8356081382220975,3308
1081,1081000.0,1.7905989556444519e+22,-1.0227103770926604,2.832225012294675,3308
1082,1082000.0,1.7954566116027314e+22,-1.0235901940013283,2.8288389759329187,3308
1083,1083000.0,1.8003232590555395e+22,-1.0244701355298231,2.825450028724586,3308
1084,1084000.0,1.805198906316787e+22,-1.025350201218506,2.822058170258955,3308
1085,1085000.0,1.8100835617003847e+22,-1.026230390609856,2.818663400126818,3308
1086,1086000.0,1.8149772335202433e+22,-1.0271107032484559,2.8152657179204716,3308
1087,1087000.0,1.8198799300902735e+22,-1.0279911386809837,2.811865123233715,3308
1088,1088000.0,1.8247916597243862e+22,-1.028871696456199,2.8084616156618383,3308
1089,1089000.0,1.8297124307364924e+22,-1.0297523761249332,2.8050551948016165,3308
1090,1090000.0,1.8346422514405027e+22,-1.0306331772400763,2.8016458602513064,3308
1091,1091000.0,1.839581130150328e+22,-1.0315140993565663,2.7982336116106348,3308
1092,1092000.0,1.8445290751798788e+22,-1.032395142031379,2.794818448480795,3308
1093,1093000.0,1.8494860948430662e+22,-1.0332763048235152,2.791400370464439,3308
1094,1094000.0,1.854452197453801e+22,-1.0341575872939903,2.7879793771656702,3308
